symbol,eodhd_identifier,identifiers_tried,status,n_observations,first_date,last_date,dataset_a_overlap_obs,dataset_a_return_corr,dataset_a_median_abs_return_diff,dataset_a_verdict,note
IEUS,IEUS.US,IEUS.US,ok,2481,2012-03-05,2022-03-04,548,0.999993,3.1e-05,match,
IEVL.L,IEVL.LSE,IEVL.LSE,ok,1803,2015-01-19,2022-03-04,551,0.99997,0.0,match,
IGF,IGF.US,IGF.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
INDA,INDA.US,INDA.US,ok,2493,2012-03-05,2022-03-04,548,0.999999,1e-06,match,
IUMO.L,IUMO.LSE,IUMO.LSE,ok,1070,2016-11-03,2022-03-04,550,0.999995,0.0,match,
IUVL.L,IUVL.LSE,IUVL.LSE,ok,1362,2016-10-17,2022-03-04,551,0.999994,0.0,match,
IVV,IVV.US,IVV.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
IWM,IWM.US,IWM.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
IXN,IXN.US,IXN.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
JPEA.L,JPEA.LSE,JPEA.LSE,ok,1236,2017-04-13,2022-03-04,551,0.999975,0.0,match,
JPM,JPM.US,JPM.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
KR,KR.US,KR.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
LQD,LQD.US,LQD.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
MCHI,MCHI.US,MCHI.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
META,META.US,META.US,ok,2465,2012-05-18,2022-03-04,548,1.0,0.0,match,
MVEU.L,MVEU.LSE,MVEU.LSE,ok,2135,2012-12-11,2022-03-04,545,0.999686,0.0,match,
OGN,OGN.US,OGN.US,ok,204,2021-05-14,2022-03-04,204,1.0,1e-06,match,
PG,PG.US,PG.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
PPL,PPL.US,PPL.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
PRU,PRU.US,PRU.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
PYPL,PYPL.US,PYPL.US,ok,1680,2015-07-06,2022-03-04,548,1.0,0.0,match,
RE,EG.US,EG.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
REET,REET.US,REET.US,ok,1922,2014-07-10,2022-03-04,548,1.0,1e-06,match,
ROL,ROL.US,ROL.US,ok,2518,2012-03-05,2022-03-04,548,0.999982,1e-06,match,
ROST,ROST.US,ROST.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
SEGA.L,SEGA.LSE,SEGA.LSE,ok,2269,2012-03-06,2022-03-04,551,0.999302,0.0,match,
SHY,SHY.US,SHY.US,ok,2518,2012-03-05,2022-03-04,548,0.999918,0.0,match,
SLV,SLV.US,SLV.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
SPMV.L,SPMV.LSE,SPMV.LSE,ok,2283,2013-01-03,2022-03-04,551,0.999899,0.0,match,
TLT,TLT.US,TLT.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
UNH,UNH.US,UNH.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
URI,URI.US,URI.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
V,V.US,V.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
VRSK,VRSK.US,VRSK.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
VXX,VXX.US,VXX.US,ok,1040,2018-01-18,2022-03-04,548,1.0,0.0,match,
WRK,WRK.US,WRK.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
XLB,XLB.US,XLB.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
XLC,XLC.US,XLC.US,ok,935,2018-06-19,2022-03-04,548,1.0,0.0,match,
XLE,XLE.US,XLE.US,ok,2518,2012-03-05,2022-03-04,548,1.0,2e-06,match,
XLF,XLF.US,XLF.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
XLI,XLI.US,XLI.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
XLK,XLK.US,XLK.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
XLP,XLP.US,XLP.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
XLU,XLU.US,XLU.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
XLV,XLV.US,XLV.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
XLY,XLY.US,XLY.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
XOM,XOM.US,XOM.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
